has_tRNA,Structural_class,C_pro_seq_length,RNA_chain_count,U_pro_seq_length,is_NMR_structure,avg_resolution,C_RNA_seq_length,has_dsRNA,RNA_seq_missing,Docking_case,organism_match,Flexible_class,U_RNA_seq_length,pro_seq_missing,BSA,C?-rmsd,P-rmsd,i-rmsd_C?,i-rmsd_P,i-rmsd_C+P
0,1,290.0,1,336.3496503497,1,2.9939999999999998,18.0,0,10.0,0,1,1,18.0,0.0,1758,0.0,3.9,0.0,6.1,0.0
0,2,338.2214765101,1,336.3496503497,0,2.425,5.0,0,9.0,1,0,3,43.2352941176,14.1140939597,2070,0.8,0.0,1.7000000000000002,0.0,0.0
0,3,80.0,1,80.0,0,2.25,9.0,0,0.0,1,0,0,43.2352941176,89.0,2822,2.7,0.0,3.9,0.0,0.0
0,3,124.0,1,124.0,0,2.21,14.0,0,8.0,2,0,2,14.0,0.0,940,0.7000000000000001,4.2,0.5,1.1,0.8
0,3,338.2214765101,1,336.3496503497,0,2.2315,8.0,0,0.0,1,0,3,43.2352941176,14.1140939597,2313,1.5,0.0,2.9,0.0,0.0
1,0,338.2214765101,1,336.3496503497,0,2.575,71.0,0,0.0,1,0,2,43.2352941176,14.1140939597,2313,0.7000000000000001,0.0,1.3,0.0,0.0
0,3,596.0,1,596.0,0,2.99,4.0,0,0.0,1,0,2,43.2352941176,11.0,974,0.8,0.0,0.6000000000000001,0.0,0.0
0,2,638.0,1,638.0,0,2.745,67.0,0,0.0,1,1,0,43.2352941176,45.0,2629,4.1,0.0,8.4,0.0,0.0
0,3,426.0,1,426.0,0,2.752,6.0,0,0.0,1,0,2,43.2352941176,37.0,2527,0.8,0.0,0.7000000000000001,0.0,0.0
0,3,182.0,1,182.0,0,1.42,3.0,0,1.0,1,0,2,43.2352941176,0.0,974,0.2,0.0,0.2,0.0,0.0
0,3,338.2214765101,1,336.3496503497,0,1.858,6.0,0,0.0,1,0,2,43.2352941176,14.1140939597,994,0.6000000000000001,0.0,0.2,0.0,0.0
0,3,418.0,1,418.0,0,2.4,30.0,0,0.0,2,1,2,30.0,0.0,4491,1.4,9.8,0.7000000000000001,11.0,6.0
0,2,629.0,2,629.0,0,2.125,28.8064516129,0,1.6688311688000002,1,0,2,43.2352941176,1.0,6642,0.9,0.0,1.4,0.0,0.0
1,0,231.0,1,231.0,0,2.296,79.0,0,0.0,1,0,0,43.2352941176,19.0,3099,22.4,0.0,27.3,0.0,0.0
0,3,358.0,1,358.0,0,2.116,6.0,0,0.0,1,0,0,43.2352941176,15.0,1692,17.7,0.0,23.2,0.0,0.0
0,3,288.0,1,288.0,0,1.8845,10.0,0,0.0,1,0,0,43.2352941176,7.0,2405,2.6,0.0,4.0,0.0,0.0
0,3,338.2214765101,1,336.3496503497,0,2.475,49.0,0,0.0,1,0,3,43.2352941176,14.1140939597,5371,1.6,0.0,1.6,0.0,0.0
1,0,338.2214765101,1,336.3496503497,0,2.51,77.0,0,0.0,1,0,0,43.2352941176,14.1140939597,7115,1.5,0.0,7.9,0.0,0.0
0,1,220.0,1,220.0,0,2.0,36.0,0,0.0,1,0,0,43.2352941176,8.0,2401,6.7,0.0,5.1,0.0,0.0
0,3,79.0,1,79.0,0,1.955,5.0,0,0.0,1,1,2,43.2352941176,0.0,1264,0.7000000000000001,0.0,0.8,0.0,0.0
1,3,217.0,1,336.3496503497,1,2.525,17.0,0,3.0,0,0,1,17.0,0.0,3018,0.0,4.2,0.0,4.7,0.0
1,0,206.0,1,206.0,0,1.9849999999999999,16.0,0,0.0,1,1,2,43.2352941176,10.0,762,0.6000000000000001,0.0,0.9,0.0,0.0
0,3,698.0,1,698.0,0,2.77,8.0,0,0.0,1,0,3,43.2352941176,0.0,2287,2.4,0.0,2.2,0.0,0.0
1,0,338.0,1,338.0,0,2.15,34.0,0,0.0,1,0,2,43.2352941176,20.0,1664,1.6,0.0,1.4,0.0,0.0
0,3,147.0,1,147.0,0,1.5899999999999999,7.0,0,0.0,1,0,2,43.2352941176,0.0,1360,0.2,0.0,0.2,0.0,0.0
0,3,194.0,1,194.0,0,2.2,5.0,0,0.0,1,0,2,43.2352941176,4.0,814,2.3,0.0,1.3,0.0,0.0
0,3,222.0,1,222.0,0,1.6,11.0,0,0.0,1,0,2,43.2352941176,4.0,2320,1.1,0.0,0.8,0.0,0.0
1,0,429.0,1,429.0,0,2.8666666667,30.0,0,5.0,2,0,3,30.0,8.0,3198,1.1,3.4,1.8,4.2,2.5
1,0,397.0,1,397.0,0,2.5333333333,74.0,0,0.0,2,0,0,74.0,8.0,2616,10.0,7.2,13.3,13.0,13.2
0,3,177.0,1,177.0,0,1.9849999999999999,2.0,0,0.0,1,0,2,43.2352941176,0.0,848,0.2,0.0,0.30000000000000004,0.0,0.0
1,0,332.0,1,332.0,0,2.399,67.0,0,0.0,1,1,0,43.2352941176,0.0,4824,11.5,0.0,12.1,0.0,0.0
0,3,538.0,2,538.0,0,2.7,28.8064516129,0,1.6688311688000002,1,0,2,43.2352941176,0.0,2100,0.7000000000000001,0.0,0.8,0.0,0.0
0,2,773.0,1,773.0,0,2.45,10.0,0,0.0,1,0,0,43.2352941176,90.0,1830,3.5,0.0,3.5,0.0,0.0
0,3,672.0,1,672.0,0,1.725,7.0,0,0.0,1,1,2,43.2352941176,0.0,1711,0.4,0.0,0.2,0.0,0.0
0,3,338.2214765101,1,336.3496503497,0,2.035,6.0,0,0.0,1,0,2,43.2352941176,14.1140939597,1069,0.5,0.0,0.9,0.0,0.0
0,2,478.0,2,233.0,0,2.375,28.8064516129,0,1.6688311688000002,1,0,3,43.2352941176,1.0,3111,1.3,0.0,1.9,0.0,0.0
0,3,69.0,1,69.0,1,2.56,12.0,0,0.0,1,0,2,43.2352941176,0.0,1060,1.4,0.0,1.6,0.0,0.0
0,3,1072.0,1,1072.0,0,2.75,7.0,0,0.0,1,0,3,43.2352941176,1.0,1955,0.2,0.0,1.9,0.0,0.0
0,3,339.0,2,339.0,0,2.05,28.8064516129,0,1.6688311688000002,1,0,2,43.2352941176,1.0,2110,0.8,0.0,0.7000000000000001,0.0,0.0
0,3,921.0,1,921.0,0,2.65,5.0,0,0.0,1,0,0,43.2352941176,43.0,1389,4.1,0.0,3.1,0.0,0.0
0,3,338.2214765101,1,336.3496503497,0,2.999,14.0,0,2.0,2,0,2,14.0,14.1140939597,1760,0.6000000000000001,3.6,0.6000000000000001,3.4,2.0
0,2,148.0,1,148.0,0,2.085,21.0,0,0.0,1,1,2,43.2352941176,0.0,1618,0.5,0.0,0.6000000000000001,0.0,0.0
0,3,342.0,1,342.0,0,1.8755000000000002,5.0,0,0.0,1,1,2,43.2352941176,4.0,1380,0.6000000000000001,0.0,0.9,0.0,0.0
0,3,588.0,1,588.0,0,2.49,6.0,0,0.0,1,0,2,43.2352941176,22.0,1471,1.1,0.0,0.8,0.0,0.0
0,2,597.0,2,597.0,0,2.955,28.8064516129,0,1.6688311688000002,1,0,0,43.2352941176,23.0,3539,3.7,0.0,5.2,0.0,0.0
1,0,563.0,1,563.0,0,2.6,63.0,0,0.0,1,0,3,43.2352941176,0.0,3360,1.2,0.0,1.5,0.0,0.0
0,2,255.0,1,249.0,0,1.85,25.0,0,-10.0,1,1,2,43.2352941176,1.0,1822,0.6000000000000001,0.0,0.5,0.0,0.0
1,0,338.2214765101,1,336.3496503497,0,2.4,72.0,0,0.0,1,0,2,43.2352941176,14.1140939597,2130,0.8,0.0,0.6000000000000001,0.0,0.0
0,3,338.2214765101,3,336.3496503497,0,2.175,28.8064516129,0,1.6688311688000002,1,0,2,43.2352941176,14.1140939597,3920,1.1,0.0,1.0,0.0,0.0
1,0,338.2214765101,1,336.3496503497,0,2.527,68.0,0,0.0,1,0,2,43.2352941176,14.1140939597,801,1.8,0.0,1.0,0.0,0.0
0,3,230.0,1,230.0,0,2.41745,12.0,0,0.0,1,0,2,43.2352941176,13.0,3191,1.0,0.0,1.0,0.0,0.0
0,2,242.0,1,242.0,0,2.65,61.0,0,1.0,1,0,0,43.2352941176,3.0,2699,13.5,0.0,19.0,0.0,0.0
0,3,272.0,1,272.0,0,2.275,7.0,0,0.0,1,0,2,43.2352941176,2.0,1639,0.5,0.0,0.8,0.0,0.0
1,0,401.0,1,401.0,0,2.225,75.0,0,1.0,1,1,2,43.2352941176,240.0,4602,0.8,0.0,0.7000000000000001,0.0,0.0
0,3,420.0,1,420.0,0,2.86,45.0,0,0.0,1,0,2,43.2352941176,1.0,2000,1.3,0.0,0.9,0.0,0.0
0,3,338.2214765101,1,336.3496503497,0,2.13,7.0,0,0.0,1,0,2,43.2352941176,14.1140939597,3026,0.6000000000000001,0.0,0.5,0.0,0.0
0,3,327.0,1,327.0,0,2.765,9.0,0,0.0,1,0,2,43.2352941176,1.0,2467,0.6000000000000001,0.0,0.5,0.0,0.0
0,3,78.0,1,78.0,0,2.25,5.0,0,0.0,1,0,2,43.2352941176,6.0,1380,0.8,0.0,0.9,0.0,0.0
1,0,440.0,1,440.0,0,1.74,12.0,0,1.0,1,1,3,43.2352941176,1.0,2677,1.4,0.0,1.5,0.0,0.0
0,2,377.0,2,377.0,0,2.235,28.8064516129,1,1.6688311688000002,1,0,3,43.2352941176,19.0,2403,1.1,0.0,2.3,0.0,0.0
0,2,483.0,2,483.0,0,2.43,28.8064516129,1,1.6688311688000002,1,0,3,43.2352941176,14.0,597,3.0,0.0,2.1,0.0,0.0
0,2,207.0,2,207.0,0,2.205,28.8064516129,1,1.6688311688000002,1,0,2,43.2352941176,1.0,1240,1.0,0.0,0.7000000000000001,0.0,0.0
0,3,154.0,2,154.0,0,1.6455000000000002,28.8064516129,0,1.6688311688000002,1,0,2,43.2352941176,3.0,1529,0.6000000000000001,0.0,1.3,0.0,0.0
0,3,87.0,1,336.3496503497,1,2.45,97.0,0,0.0,0,1,1,97.0,0.0,2367,0.0,2.0,0.0,2.1,0.0
0,2,338.2214765101,2,336.3496503497,0,1.775,28.8064516129,1,1.6688311688000002,1,0,2,43.2352941176,14.1140939597,2466,0.6000000000000001,0.0,0.8,0.0,0.0
1,0,189.0,1,189.0,0,1.495,17.0,0,0.0,1,1,3,43.2352941176,0.0,1397,0.9,0.0,1.9,0.0,0.0
0,2,1256.0,1,1256.0,0,2.5,28.8064516129,1,1.6688311688000002,1,0,2,43.2352941176,8.0,3240,0.5,0.0,0.9,0.0,0.0
0,3,338.2214765101,2,336.3496503497,0,1.87,28.8064516129,0,1.6688311688000002,1,1,3,43.2352941176,14.1140939597,2137,1.2,0.0,1.6,0.0,0.0
0,3,338.2214765101,1,336.3496503497,0,1.9649999999999999,7.0,0,0.0,1,1,2,43.2352941176,14.1140939597,1533,0.30000000000000004,0.0,0.30000000000000004,0.0,0.0
0,2,369.0,1,336.3496503497,1,2.215,17.0,0,2.0,0,0,1,17.0,0.0,2230,0.0,3.1,0.0,3.5,0.0
1,0,338.2214765101,1,336.3496503497,0,2.7,56.0,0,0.0,1,1,3,43.2352941176,14.1140939597,2290,1.7000000000000002,0.0,2.4,0.0,0.0
0,3,289.0,1,289.0,0,2.5,6.0,0,0.0,1,0,2,43.2352941176,0.0,844,0.5,0.0,0.4,0.0,0.0
0,2,1140.0,1,1140.0,0,2.76,72.0,0,0.0,1,1,0,43.2352941176,224.0,10845,29.6,0.0,22.0,0.0,0.0
0,3,365.0,1,365.0,0,2.471,7.0,0,0.0,1,1,2,43.2352941176,12.0,1201,1.4,0.0,1.2,0.0,0.0
1,0,338.2214765101,1,336.3496503497,0,2.9023333333,40.0,0,36.0,2,0,0,40.0,14.1140939597,9045,3.5,6.0,4.6,5.9,4.7
1,0,820.0,1,336.3496503497,1,2.85,65.0,0,16.0,0,0,1,34.0,0.0,4322,0.0,2.8,0.0,2.9,0.0
0,3,563.0,1,563.0,0,1.987,6.0,0,0.0,1,1,2,43.2352941176,2.0,2076,1.0,0.0,0.9,0.0,0.0
0,3,503.0,1,503.0,0,1.8,5.0,0,0.0,1,0,3,43.2352941176,16.0,1811,1.9,0.0,2.1,0.0,0.0
0,2,90.0,1,90.0,1,1.6800000000000002,24.0,0,0.0,2,1,3,24.0,0.0,1210,1.5,1.1,1.7000000000000002,0.9,1.4
0,3,70.0,1,70.0,0,1.4969999999999999,3.0,0,0.0,1,0,2,43.2352941176,1.0,502,1.1,0.0,0.5,0.0,0.0
1,0,338.2214765101,1,336.3496503497,0,2.7986666667,70.0,0,5.0,2,1,2,70.0,14.1140939597,4240,0.6000000000000001,3.2,1.2,6.4,3.5
0,2,338.2214765101,2,336.3496503497,0,2.786,28.8064516129,0,1.6688311688000002,1,0,2,43.2352941176,14.1140939597,7074,0.9,0.0,0.9,0.0,0.0
0,3,338.2214765101,1,336.3496503497,0,2.04,14.0,0,0.0,1,0,3,43.2352941176,14.1140939597,4482,0.9,0.0,2.1,0.0,0.0
0,3,108.0,1,108.0,1,1.65,3.0,0,0.0,1,0,2,43.2352941176,5.0,632,1.5,0.0,1.0,0.0,0.0
1,0,603.0,1,603.0,0,2.475,75.0,0,0.0,1,0,3,43.2352941176,3.0,5767,2.0,0.0,2.2,0.0,0.0
0,3,469.0,1,469.0,0,1.9655,5.0,0,0.0,1,0,3,43.2352941176,13.0,1747,3.1,0.0,2.4,0.0,0.0
0,2,456.0,3,456.0,0,2.25,28.8064516129,0,1.6688311688000002,1,0,2,43.2352941176,5.0,4174,0.8,0.0,1.1,0.0,0.0
0,3,74.0,1,74.0,0,1.45,5.0,0,0.0,1,1,2,43.2352941176,1.0,926,1.0,0.0,1.2,0.0,0.0
0,2,476.0,2,476.0,0,2.455,28.8064516129,0,1.6688311688000002,1,0,2,43.2352941176,0.0,3080,0.7000000000000001,0.0,0.6000000000000001,0.0,0.0
1,0,321.0,1,321.0,0,2.6833333333000002,61.0,0,16.0,2,0,0,67.0,8.0,4523,15.1,4.6,20.0,6.4,12.9
0,2,338.2214765101,3,336.3496503497,0,2.425,28.8064516129,0,1.6688311688000002,1,0,2,43.2352941176,14.1140939597,3243,1.0,0.0,1.0,0.0,0.0
1,0,332.0,1,332.0,0,2.225,69.0,0,0.0,1,1,2,43.2352941176,26.0,3450,1.4,0.0,1.3,0.0,0.0
0,2,520.0,3,520.0,0,2.075,28.8064516129,0,1.6688311688000002,1,0,2,43.2352941176,12.0,4207,1.4,0.0,1.3,0.0,0.0
0,2,233.0,1,240.0,0,2.22,22.0,0,0.0,1,0,2,43.2352941176,0.0,836,1.4,0.0,1.1,0.0,0.0
0,2,338.2214765101,1,336.3496503497,0,2.02,25.0,0,0.0,1,0,2,43.2352941176,14.1140939597,1754,0.9,0.0,0.5,0.0,0.0
0,3,274.0,1,274.0,0,1.85,22.0,0,0.0,1,0,2,43.2352941176,30.0,2973,1.9,0.0,1.3,0.0,0.0
0,3,166.0,1,166.0,0,2.55,11.0,0,0.0,1,0,2,43.2352941176,11.0,2416,0.7000000000000001,0.0,0.5,0.0,0.0
0,3,88.0,1,88.0,1,2.255,5.0,0,0.0,1,0,2,43.2352941176,2.0,1167,1.2,0.0,1.2,0.0,0.0
1,0,193.0,1,193.0,0,2.4,19.0,0,17.0,2,0,2,19.0,0.0,1354,0.8,3.7,0.8,3.8,2.0
0,3,63.0,1,63.0,0,1.85,7.0,0,48.0,1,0,2,43.2352941176,7.0,1027,0.30000000000000004,0.0,0.2,0.0,0.0
0,2,675.0,2,675.0,0,2.95,28.8064516129,0,1.6688311688000002,1,0,3,43.2352941176,29.0,990,1.9,0.0,1.5,0.0,0.0
0,1,300.0,1,300.0,0,2.2333333333,11.0,0,0.0,2,0,2,11.0,2.0,2273,0.5,7.6,0.5,8.4,4.5
1,0,264.0,1,264.0,0,2.5,53.0,0,0.0,1,0,2,43.2352941176,43.0,1530,0.7000000000000001,0.0,0.8,0.0,0.0
0,3,157.0,1,157.0,0,2.05,8.0,0,0.0,1,0,2,43.2352941176,3.0,1227,1.1,0.0,1.3,0.0,0.0
0,1,112.0,2,112.0,0,1.625,28.8064516129,0,1.6688311688000002,1,0,2,43.2352941176,0.0,1200,0.30000000000000004,0.0,0.4,0.0,0.0
0,3,635.0,1,635.0,0,2.59,13.0,0,0.0,1,0,2,43.2352941176,8.0,4160,1.6,0.0,0.9,0.0,0.0
0,3,114.0,1,114.0,0,2.2,6.0,0,0.0,1,0,3,43.2352941176,4.0,720,1.0,0.0,1.6,0.0,0.0
1,2,304.0,1,304.0,0,2.31,17.0,0,0.0,2,0,0,17.0,1.0,3680,2.0,4.9,3.3,4.9,3.6
0,3,645.0,1,645.0,0,1.975,6.0,0,0.0,1,0,2,43.2352941176,0.0,1909,1.0,0.0,1.1,0.0,0.0
0,3,99.0,1,99.0,1,1.75,3.0,0,0.0,1,0,3,43.2352941176,0.0,696,2.5,0.0,2.4,0.0,0.0
0,3,774.0,1,774.0,0,2.1,4.0,0,0.0,1,0,2,43.2352941176,0.0,1227,0.5,0.0,0.5,0.0,0.0
0,2,931.0,1,931.0,0,3.077,40.0,0,0.0,1,0,0,43.2352941176,284.0,8811,4.9,0.0,4.0,0.0,0.0
0,2,112.0,2,112.0,0,2.1,28.8064516129,1,1.6688311688000002,1,0,3,43.2352941176,0.0,811,1.0,0.0,2.2,0.0,0.0
0,2,81.0,2,81.0,1,2.8,28.8064516129,1,1.6688311688000002,1,0,2,43.2352941176,1.0,784,1.3,0.0,0.6000000000000001,0.0,0.0
0,2,300.0,2,300.0,0,2.22,28.8064516129,1,1.6688311688000002,1,0,3,43.2352941176,38.0,2914,2.4,0.0,2.8,0.0,0.0
0,3,66.0,1,66.0,0,1.915,4.0,0,1.0,1,0,2,43.2352941176,0.0,963,0.5,0.0,0.4,0.0,0.0
0,1,529.0,1,529.0,0,2.4425,11.0,0,0.0,1,0,3,43.2352941176,15.0,3205,2.5,0.0,2.6,0.0,0.0
1,0,308.0,1,308.0,0,2.7,77.0,0,0.0,2,0,2,77.0,6.0,2940,1.2,2.3,0.9,2.5,1.7000000000000002
0,2,76.0,1,336.3496503497,1,2.11,43.0,0,6.0,0,0,1,43.0,0.0,1364,0.0,38.3,0.0,30.0,0.0
0,2,338.2214765101,2,336.3496503497,0,2.96,28.8064516129,0,1.6688311688000002,1,0,2,43.2352941176,14.1140939597,4223,1.2,0.0,1.4,0.0,0.0
0,3,160.0,1,160.0,0,2.6,10.0,0,0.0,1,0,2,43.2352941176,7.0,2776,0.9,0.0,0.6000000000000001,0.0,0.0
0,1,338.2214765101,2,96.0,0,2.125,28.8064516129,0,1.6688311688000002,1,0,2,43.2352941176,14.1140939597,4945,0.9,0.0,1.1,0.0,0.0
1,2,338.2214765101,1,336.3496503497,0,2.05,19.0,0,0.0,1,0,3,43.2352941176,14.1140939597,3006,0.6000000000000001,0.0,1.6,0.0,0.0
0,1,133.0,1,133.0,1,3.035,52.0,0,6.0,2,0,0,52.0,0.0,2455,3.5,1.6,4.1,1.6,3.3
0,3,174.0,1,174.0,1,1.85,6.0,0,0.0,1,1,3,43.2352941176,1.0,1096,2.7,0.0,2.2,0.0,0.0
0,2,62.0,2,62.0,1,2.25,28.8064516129,1,1.6688311688000002,1,0,2,43.2352941176,0.0,768,1.1,0.0,0.7000000000000001,0.0,0.0
0,1,177.0,2,177.0,0,3.0333333333,28.8064516129,0,1.6688311688000002,2,0,3,43.2352941176,8.0,1595,2.1,3.3,2.4,2.8,2.6
0,2,338.2214765101,2,127.0,0,2.3,28.8064516129,1,1.6688311688000002,1,0,2,43.2352941176,14.1140939597,2705,1.2,0.0,1.2,0.0,0.0
0,3,338.2214765101,1,336.3496503497,0,2.21,6.0,0,0.0,1,0,2,43.2352941176,14.1140939597,2186,0.5,0.0,0.6000000000000001,0.0,0.0
0,2,338.2214765101,1,126.0,1,2.6,33.0,0,0.0,2,0,3,18.0,14.1140939597,2569,1.9,11.0,1.9,13.0,19.0
0,3,338.2214765101,2,336.3496503497,0,2.737,28.8064516129,0,1.6688311688000002,1,0,2,43.2352941176,14.1140939597,1996,0.5,0.0,0.30000000000000004,0.0,0.0
